origin,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Luliang,Hohhot,Baotou,Wuhai,Chifeng,Tongliao,Erdos,Hulunbeir,Bayannaoer,Ulanchabu,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Baicheng,Harbin,Qiqihar,Jixi,Hegang,Shuangyashan,Daqing,Yichun1,Jiamusi,Qitaihe,Mudanjiang,Heihe,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou1,Nantong,Lianyungang,Huaian,Yancheng,Yangzhou,Zhenjiang,Taizhou4,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou2,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou4,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou2,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,JiAn,Yichun2,Fuzhou3,Shangrao,JiNan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Jieyang,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin4,Baise,Hezhou,Hechi,Laibin,Chongzuo,Haikou,Sanya,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,GuangAn,Dazhou,Yaan,Bazhong,Ziyang,Guiyang,Zunyi,Kunming,Qujing,Yuxi,Baoshan,Zhaotong,Lijiang,Simao,Lincang,XiAn,Tongchuan,Baoji,Xianyang,Weinan,YanAn,Hanzhong,Yulin2,Ankang,Shangluo,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Wuwei,Zhangye,Pingliang,Jiuquan,Qingyang,Dingxi,Longnan,Xining,Yinchuan,Shizuishan,Wuzhong,Guyuan,Zhongwei,Urumqi,Karamay
Xiaogan,11.99,11.505,10.023,12.382,13.706,8.104,8.723,11.2,14.164,14.033,10.501,11.882,9.495,9.394,12.236,9.992,7.671,6.84,11.942,9.299,7.407,10.38,8.545,10.129,14.384,14.735,15.535,16.273,18.928,13.895,27.341,16.787,13.509,17.054,18.983,17.003,17.919,17.888,18.736,15.374,16.759,16.546,17.84,16.166,17.979,15.995,15.362,19.721,20.558,19.195,19.198,19.385,20.126,22.54,22.082,23.724,25.493,26.09,27.293,22.911,25.777,25.456,26.4,24.103,27.824,9.119,6.543,7.682,7.949,7.831,8.699,8.702,9.098,8.195,8.911,7.45,8.571,7.963,8.803,8.356,10.08,10.7,9.204,8.306,9.203,7.71,7.297,11.751,11.088,9.567,5.249,6.252,5.965,6.059,5.988,8.274,6.692,4.673,6.313,6.825,5.41,6.559,3.848,6.008,6.747,6.725,10.723,12.784,12.289,9.663,11.778,11.88,9.007,10.74,11.039,5.063,4.786,5.289,3.493,5.869,6.481,8.72,6.551,6.072,6.542,7.403,8.855,11.292,9.862,8.142,10.794,12.953,11.153,7.398,9.219,14.427,10.082,9.32,9.414,9.615,8.205,10.397,7.142,6.331,6.613,5.472,4.319,7.453,7.549,6.26,6.272,7.406,5.138,4.266,6.821,4.609,5.82,2.617,4.824,3.773,1.24,2.572,4.498,4.586,2.952,1.939,2.982,0.0,3.255,2.986,2.425,1.801,4.377,5.128,4.741,6.015,6.406,3.054,4.168,5.935,5.049,7.493,7.211,7.366,5.799,11.634,9.542,12.252,12.988,12.577,11.894,12.564,15.403,15.054,11.673,11.802,10.897,14.318,10.783,13.467,11.536,12.084,12.583,11.998,13.629,11.187,9.848,12.498,15.072,15.41,13.992,12.952,13.554,15.185,11.24,13.418,12.292,15.072,19.223,23.031,7.95,12.443,12.052,19.678,12.622,12.284,11.899,11.01,10.658,12.124,12.847,10.488,13.663,12.547,9.854,9.262,13.663,11.589,11.619,10.955,10.955,16.251,14.509,17.63,21.772,15.186,22.156,19.105,21.708,7.733,8.141,9.951,7.693,7.632,10.47,9.304,12.025,7.179,6.391,12.921,20.469,16.434,14.551,11.824,16.222,18.75,10.305,20.162,9.994,12.314,12.967,15.544,13.721,15.368,13.569,12.163,14.283,31.449,34.233
Jingzhou,12.345,11.86,10.382,12.737,14.061,8.463,9.082,11.564,14.524,14.388,10.856,12.236,9.85,9.613,12.455,10.211,7.889,7.059,12.16,9.518,7.625,10.598,8.763,10.348,14.602,14.599,15.164,16.628,19.283,13.759,27.696,16.417,13.727,17.409,19.338,17.358,18.274,18.243,19.091,15.728,17.114,16.901,18.195,16.521,18.334,16.35,15.717,20.076,20.913,19.55,19.553,19.74,20.481,22.895,22.437,24.079,25.848,26.445,27.648,23.265,26.131,25.811,26.755,24.458,28.179,10.583,8.054,9.149,8.728,9.342,10.165,10.207,9.891,9.706,10.422,8.961,10.082,9.474,9.758,9.517,11.241,11.862,10.366,9.467,10.364,8.871,8.459,12.912,12.25,10.729,6.76,7.763,7.476,7.57,7.499,9.042,7.853,5.834,7.474,8.336,6.829,7.799,5.359,6.759,7.908,7.886,11.884,12.919,12.424,10.727,11.914,12.016,10.168,10.876,12.2,6.224,5.947,4.679,4.654,5.824,7.642,8.674,6.506,5.466,7.703,8.565,9.209,11.676,10.217,8.921,11.149,13.337,11.508,7.854,9.603,14.81,10.465,9.703,10.021,9.97,8.56,10.752,7.496,6.678,6.967,5.691,4.569,7.813,7.909,6.62,6.522,7.761,5.497,4.91,7.04,4.363,6.572,4.456,5.588,4.98,2.54,3.733,4.085,2.435,2.604,3.1,1.373,3.255,0.0,4.26,3.434,2.885,3.471,4.404,3.945,4.999,4.625,2.063,1.929,3.694,2.813,6.532,5.529,5.126,4.361,10.909,8.818,11.528,12.264,12.713,11.17,11.84,14.011,13.594,10.949,11.078,11.033,13.873,10.737,12.742,10.812,11.36,11.859,12.134,12.118,9.676,8.337,10.987,13.56,13.899,12.481,11.441,12.043,13.674,9.765,11.907,10.781,13.561,17.79,21.598,5.927,10.291,9.9,17.437,10.471,10.132,9.748,10.356,8.507,9.972,10.696,8.337,11.512,10.396,7.703,7.11,11.511,9.437,9.467,8.714,8.714,14.01,12.268,15.389,19.532,13.035,19.915,16.864,19.467,7.362,7.77,9.58,7.322,7.261,10.099,8.782,12.145,6.656,6.065,12.55,20.098,16.064,14.18,11.453,15.851,18.379,9.934,19.791,9.623,11.944,12.444,15.173,13.351,14.997,13.198,11.793,13.912,31.078,33.862
Huanggang,12.285,11.768,10.501,12.645,13.969,8.796,9.415,11.495,14.536,14.323,10.774,12.176,9.79,10.724,13.566,11.237,9.0,8.209,13.271,10.629,8.915,11.709,10.053,11.459,15.713,16.065,17.102,16.563,19.192,15.225,27.631,18.355,14.838,17.317,19.247,17.266,18.182,18.151,18.999,15.637,17.022,16.809,18.103,16.43,18.243,16.258,15.625,19.984,20.821,19.458,19.461,19.648,20.389,22.83,22.345,24.015,25.756,26.353,27.556,23.174,26.04,25.719,26.663,24.366,28.087,8.684,6.107,7.246,7.551,7.396,8.264,8.267,8.7,7.76,8.476,7.015,8.136,7.527,8.368,7.706,9.488,10.112,8.554,7.656,8.553,7.122,6.709,11.101,10.5,8.979,4.814,5.817,5.53,5.624,5.553,7.919,6.042,4.023,5.685,6.39,4.99,6.124,3.413,5.825,6.097,6.075,10.134,12.195,11.7,9.074,11.19,11.291,8.418,10.152,10.45,4.474,4.198,5.826,2.904,5.294,5.893,8.145,5.976,5.66,5.953,6.815,9.07,10.927,10.089,7.744,11.009,12.588,11.378,7.362,9.185,14.062,9.714,9.285,9.017,9.878,8.468,10.612,7.436,7.289,6.907,6.98,5.827,8.145,8.259,7.234,7.384,7.701,6.111,5.239,8.329,6.117,5.785,3.733,4.863,4.747,1.924,2.01,6.066,5.791,4.519,1.355,4.213,2.986,4.26,0.0,2.878,3.369,5.034,5.785,5.398,6.672,7.063,3.711,5.07,6.838,5.872,8.15,7.868,8.269,6.456,12.015,9.902,12.529,13.369,11.988,12.316,12.945,15.804,15.51,12.225,11.317,10.308,13.743,10.207,13.868,12.111,12.465,12.965,11.41,14.286,11.844,10.505,13.155,15.729,16.067,14.649,13.609,14.211,15.842,11.897,14.075,12.949,15.729,19.624,23.432,9.181,13.648,13.257,20.58,13.827,13.489,13.104,12.578,11.864,13.329,14.053,11.694,14.869,13.753,11.06,10.467,14.868,12.794,12.824,11.857,11.857,17.153,15.411,18.532,22.675,16.392,23.058,20.007,22.61,9.3,9.708,11.518,9.26,9.2,12.037,10.872,13.355,8.747,7.959,14.488,22.037,18.002,16.118,13.391,17.789,20.317,11.872,21.73,11.561,13.882,14.535,17.111,15.289,16.935,15.136,13.731,15.85,33.016,35.8
Xianning,12.816,12.299,11.03,13.176,14.5,9.197,9.816,12.026,15.067,14.854,11.305,12.707,10.321,10.627,13.469,11.225,8.904,8.073,13.175,10.532,8.64,11.613,9.778,11.362,15.616,15.968,16.768,17.094,19.722,15.128,28.162,18.02,14.742,17.848,19.777,17.797,18.713,18.682,19.53,16.168,17.553,17.34,18.634,16.96,18.773,16.789,16.156,20.515,21.352,19.989,19.992,20.179,20.92,23.361,22.876,24.545,26.287,26.884,28.087,23.704,26.571,26.25,27.194,24.897,28.618,9.122,6.853,7.688,8.296,8.11,8.704,8.744,9.445,8.505,9.221,7.76,8.881,8.273,9.113,7.568,9.024,9.644,8.905,8.007,8.392,6.653,6.241,10.811,10.032,8.511,5.559,6.358,6.275,6.369,6.298,8.664,6.393,4.452,5.304,7.135,5.735,6.869,4.158,6.503,6.447,6.425,9.554,11.288,10.793,8.156,10.283,10.367,7.519,9.227,9.966,3.555,3.73,3.88,2.517,4.193,5.395,7.044,4.875,4.559,5.035,6.347,9.601,11.672,10.62,8.489,11.54,13.333,11.911,7.893,9.715,14.807,10.459,9.816,9.762,10.409,8.999,11.143,7.967,7.409,7.438,6.705,5.552,8.547,8.642,7.354,7.48,8.232,6.231,5.359,8.054,5.842,6.315,3.71,5.394,4.867,1.347,2.288,5.731,4.994,4.185,1.718,3.542,2.425,3.434,2.878,0.0,3.034,3.101,3.852,3.465,4.738,5.13,1.778,3.137,4.904,3.939,6.217,5.934,6.335,4.523,10.357,8.266,10.976,11.712,11.063,10.618,11.288,14.127,13.777,10.397,10.217,9.384,12.642,9.106,12.19,10.26,10.808,11.307,10.485,12.353,9.911,8.572,11.222,13.795,14.134,12.716,11.676,12.278,13.909,9.963,12.142,11.016,13.796,17.947,21.755,8.317,12.681,12.29,18.647,12.86,12.522,12.137,12.243,10.896,12.362,13.085,10.727,13.902,12.785,10.092,9.5,13.901,11.827,11.857,9.924,9.924,15.22,13.477,16.598,20.741,15.425,21.125,18.074,20.677,8.966,9.374,11.184,8.925,8.865,11.702,10.537,13.258,8.412,7.624,14.154,21.702,17.667,15.783,13.057,17.455,19.983,11.538,21.395,11.227,13.547,14.2,16.776,14.954,16.6,14.802,13.396,15.516,32.681,35.466
Suizhou,10.563,10.078,8.568,10.955,12.279,6.649,7.268,9.795,12.709,12.606,9.073,10.454,8.068,7.853,10.696,8.451,6.13,5.3,10.401,7.759,5.866,8.839,7.004,8.589,12.843,13.195,14.201,14.846,17.501,12.354,25.913,15.438,11.968,15.626,17.556,15.576,16.491,16.461,17.309,13.946,15.332,15.119,16.413,14.739,16.552,14.567,13.934,18.294,19.13,17.767,17.771,17.957,18.699,21.113,20.654,22.297,24.065,24.662,25.865,21.483,24.349,24.029,24.973,22.676,26.396,8.98,6.403,7.542,6.662,7.691,8.559,8.562,7.825,8.091,8.771,7.311,8.431,7.823,7.692,8.31,10.14,11.309,9.158,8.26,9.157,8.319,7.906,11.705,11.697,10.176,5.109,6.112,5.787,5.769,5.848,6.977,7.256,5.282,6.921,6.686,4.204,5.734,3.709,4.694,7.356,6.672,11.332,13.393,12.897,10.272,12.387,12.489,9.615,11.349,11.648,5.671,5.395,5.347,4.102,6.478,7.09,9.329,7.16,6.13,7.151,8.012,7.427,9.893,8.434,6.856,9.366,11.554,9.726,6.072,7.82,13.028,8.683,7.921,8.128,8.188,6.778,8.969,5.714,4.876,5.185,3.931,2.778,5.998,6.094,4.805,4.732,5.979,3.683,2.844,5.28,3.068,4.506,1.954,3.522,2.355,1.849,3.181,3.165,3.786,1.619,2.548,2.181,1.801,2.885,3.369,3.034,0.0,4.436,5.186,4.799,6.073,6.464,3.099,3.94,5.707,4.821,7.551,7.269,7.138,5.857,11.692,9.6,12.31,13.046,13.185,11.952,12.622,15.461,15.112,11.731,11.86,11.506,14.655,11.391,13.525,11.594,12.142,12.641,12.607,13.687,11.245,9.906,12.556,15.13,15.468,14.05,13.01,13.612,15.243,11.298,13.476,12.35,15.13,19.281,23.089,7.15,11.642,11.251,19.45,11.822,11.483,11.099,9.677,9.858,11.323,12.047,9.688,12.863,11.747,9.054,8.179,12.862,10.62,10.818,10.727,10.727,16.023,14.28,17.402,21.544,14.386,21.928,18.877,21.48,6.4,6.808,8.618,6.359,6.299,9.136,7.971,10.484,5.846,5.058,11.588,19.136,15.101,13.217,10.491,14.889,17.417,8.972,18.829,8.661,10.981,11.634,14.21,12.388,14.034,12.236,10.83,12.95,30.115,32.899
Changsha,14.738,14.253,12.743,15.13,16.454,10.824,11.443,13.97,16.884,16.781,13.248,14.629,12.243,12.028,14.871,12.626,10.305,9.475,14.576,11.934,10.041,13.014,11.179,12.764,17.018,17.321,17.916,19.021,21.676,16.481,30.088,19.168,16.143,19.801,21.731,19.751,20.666,20.636,21.484,18.121,19.507,19.294,20.588,18.914,20.727,18.743,18.109,22.469,23.306,21.942,21.946,22.132,22.874,25.288,24.829,26.472,28.24,28.837,30.041,25.658,28.524,28.204,29.148,26.851,30.571,10.887,9.007,9.829,10.45,10.266,10.845,10.885,11.599,10.659,11.375,9.914,11.035,10.427,11.268,8.76,10.016,10.636,10.293,10.148,9.387,7.645,7.281,11.803,11.024,9.503,7.713,8.499,8.429,8.523,8.451,10.818,8.534,6.612,7.288,9.29,7.889,9.023,6.312,8.657,8.588,8.566,9.208,9.754,9.259,7.566,8.748,8.85,7.173,7.71,9.792,3.989,5.693,1.513,4.658,2.658,5.288,5.509,3.34,2.3,4.871,6.512,11.602,13.826,12.609,10.643,13.541,15.487,13.901,10.047,11.87,16.961,12.613,11.97,11.916,12.363,10.953,13.144,9.889,9.051,9.36,8.106,6.953,10.173,10.269,8.98,8.907,10.154,7.858,7.019,9.455,7.115,8.47,5.662,7.548,6.53,3.5,4.418,6.837,4.976,5.356,3.874,4.125,4.377,3.471,5.034,3.101,4.436,0.0,1.159,0.771,2.045,2.32,2.034,1.628,3.428,1.06,3.524,3.124,4.162,1.713,7.664,5.573,8.283,9.019,9.547,7.925,8.595,11.434,11.072,7.704,7.833,7.867,10.628,7.572,9.497,7.567,8.115,8.614,8.969,9.595,7.153,5.815,8.465,11.038,11.377,9.958,8.919,9.521,11.151,7.206,9.385,8.259,11.038,15.256,19.064,8.258,12.405,11.403,17.169,11.409,12.435,12.079,12.687,10.838,11.692,12.556,10.668,13.514,11.968,10.034,9.441,13.523,11.769,11.469,8.446,8.445,13.742,11.999,15.12,19.263,13.973,19.646,16.596,19.199,10.114,10.522,12.332,10.074,10.013,12.851,11.483,14.659,9.358,8.816,15.302,22.85,18.815,16.932,14.205,18.603,21.131,12.686,22.543,12.375,14.695,15.068,17.925,16.102,17.749,15.95,14.544,16.664,33.83,36.614
Zhuzhou,15.489,15.004,13.494,15.88,17.205,11.575,12.194,14.721,17.635,17.532,13.999,15.38,12.994,12.779,15.622,13.377,11.056,10.226,15.327,12.685,10.792,13.765,11.93,13.515,17.769,18.121,18.848,19.772,22.427,17.28,30.839,20.101,16.894,20.552,22.482,20.502,21.417,21.387,22.235,18.872,20.258,20.045,21.339,19.665,21.478,19.493,18.86,23.219,24.056,22.693,22.697,22.883,23.625,26.039,25.58,27.223,28.991,29.588,30.791,26.409,29.275,28.955,29.899,27.601,31.322,10.716,9.756,10.389,11.201,10.826,10.79,10.94,12.35,11.41,12.126,10.665,11.725,11.178,12.018,8.589,9.845,10.465,10.122,10.004,9.216,7.474,7.109,11.632,10.853,9.332,8.464,9.058,9.18,9.274,9.037,11.569,9.093,7.237,7.284,10.04,8.64,9.774,7.063,9.408,9.148,9.126,9.037,9.583,9.088,7.395,8.577,8.679,7.002,7.539,9.621,3.818,5.69,1.338,5.235,2.487,5.117,5.338,3.169,2.129,4.7,6.34,12.353,14.577,13.36,11.394,14.292,16.238,14.651,10.798,12.62,17.712,13.364,12.721,12.667,13.114,11.704,13.895,10.64,9.802,10.111,8.857,7.704,10.924,11.02,9.731,9.658,10.905,8.609,7.77,10.206,7.984,9.22,6.413,8.299,7.281,4.25,5.108,7.77,5.908,6.253,4.625,5.057,5.128,4.404,5.785,3.852,5.186,1.159,0.0,0.659,1.902,2.35,2.785,2.56,4.361,1.925,3.38,3.154,4.191,1.743,7.521,5.429,8.139,8.875,9.376,7.781,8.451,11.29,10.941,7.56,7.689,7.696,10.484,7.4,9.353,7.423,7.971,8.47,8.798,9.516,7.074,5.735,8.385,10.959,11.297,9.879,8.839,9.441,11.072,7.127,9.305,8.179,10.959,15.11,18.918,9.191,13.338,11.678,17.465,11.685,13.368,13.011,13.62,11.771,12.479,12.832,11.601,14.015,12.244,10.966,10.374,14.053,12.701,12.402,8.742,8.742,14.038,12.296,15.417,19.56,14.248,19.943,16.892,19.495,11.046,11.455,13.264,11.006,10.946,13.783,12.416,15.41,10.29,9.728,16.234,23.783,19.748,17.864,15.137,19.535,22.063,13.619,23.476,13.307,15.628,16.001,18.857,17.035,18.681,16.882,15.477,17.596,34.762,37.546
Xiangtan,15.101,14.616,13.107,15.493,16.817,11.187,11.806,14.333,17.248,17.144,13.612,14.993,12.606,12.392,15.234,12.99,10.668,9.838,14.939,12.297,10.404,13.378,11.543,13.127,17.381,17.71,18.39,19.384,22.039,16.87,30.452,19.642,16.506,20.165,22.094,20.114,21.03,20.999,21.847,18.485,19.87,19.657,20.951,19.277,21.09,19.106,18.473,22.832,23.669,22.306,22.309,22.496,23.237,25.651,25.193,26.835,28.604,29.201,30.404,26.021,28.888,28.567,29.511,27.214,30.935,10.565,9.37,10.097,10.813,10.535,10.639,10.79,11.963,11.022,11.739,10.278,11.389,10.79,11.631,8.439,9.694,10.314,9.971,9.854,9.066,7.324,6.959,11.482,10.702,9.181,8.076,8.767,8.792,8.887,8.746,11.181,8.802,6.914,7.134,9.653,8.253,9.386,6.676,9.021,8.857,8.835,8.887,9.432,8.937,7.245,8.427,8.529,6.852,7.389,9.471,3.668,5.539,1.187,4.926,2.337,4.966,5.187,3.019,1.979,4.55,6.19,11.966,14.19,12.973,11.007,13.905,15.851,14.264,10.411,12.233,17.325,12.977,12.333,12.279,12.726,11.316,13.508,10.253,9.415,9.724,8.47,7.317,10.537,10.633,9.344,9.27,10.517,8.221,7.383,9.819,7.578,8.833,6.026,7.912,6.894,3.863,4.72,7.311,5.449,5.829,4.237,4.599,4.741,3.945,5.398,3.465,4.799,0.771,0.659,0.0,1.496,1.872,2.397,2.101,3.902,1.451,3.004,2.676,3.714,1.265,7.164,5.072,7.782,8.518,9.226,7.424,8.094,10.884,10.502,7.204,7.332,7.546,10.127,7.25,8.997,7.067,7.614,8.114,8.648,9.026,6.583,5.245,7.895,10.468,10.807,9.388,8.349,8.951,10.581,6.636,8.815,7.689,10.469,14.687,18.494,8.732,12.879,11.201,16.988,11.207,12.909,12.552,13.161,11.312,12.001,12.354,11.142,13.538,11.766,10.508,9.915,13.576,12.242,11.943,8.265,8.264,13.561,11.818,14.939,19.082,13.77,19.465,16.415,19.018,10.588,10.996,12.806,10.547,10.487,13.324,11.957,15.023,9.831,9.29,15.776,23.324,19.289,17.405,14.679,19.077,21.605,13.16,23.017,12.849,15.169,15.542,18.398,16.576,18.222,16.424,15.018,17.138,34.303,37.088
Hengyang,16.375,15.89,14.38,16.767,18.091,12.461,13.08,15.607,18.521,18.418,14.886,16.266,13.88,13.666,16.508,14.264,11.942,11.112,16.213,13.571,11.678,14.651,12.816,14.401,18.655,18.884,19.443,20.658,23.313,18.044,31.725,20.696,17.78,21.439,23.368,21.388,22.304,22.273,23.121,19.758,21.144,20.931,22.225,20.551,22.364,20.38,19.747,24.106,24.943,23.58,23.583,23.77,24.511,26.925,26.467,28.109,29.878,30.475,31.678,27.295,30.161,29.841,30.785,28.488,32.209,11.726,10.644,11.375,12.087,11.812,11.8,11.95,13.236,12.296,13.013,11.552,12.663,12.064,12.905,9.599,10.854,11.475,11.132,11.014,10.226,8.484,8.119,12.642,11.863,10.342,9.35,10.044,10.066,10.16,10.023,12.455,10.079,8.188,8.294,10.927,9.526,10.66,7.95,10.294,10.134,10.112,8.909,8.887,8.392,6.699,7.882,7.983,7.151,6.844,10.151,4.828,6.699,2.348,6.2,3.497,6.126,4.598,2.91,3.139,5.496,7.35,13.239,15.464,14.247,12.28,15.179,17.125,15.538,11.685,13.507,18.598,14.251,13.607,13.553,14.0,12.59,14.782,11.526,10.689,10.997,9.744,8.591,11.811,11.906,10.618,10.544,11.791,9.495,8.657,11.093,8.643,10.107,7.299,9.185,8.168,5.137,5.994,8.365,6.503,6.883,5.511,5.652,6.015,4.999,6.672,4.738,6.073,2.045,1.902,1.496,0.0,1.482,3.671,3.155,4.956,2.505,1.598,1.477,3.736,2.23,6.114,4.022,6.732,7.468,8.68,6.374,7.044,9.649,9.233,6.154,6.282,7.001,9.077,6.583,7.947,6.017,6.564,7.064,8.102,7.756,5.314,3.975,6.625,9.198,9.537,8.119,7.079,7.681,9.312,5.366,7.545,6.419,9.199,13.429,17.236,9.786,13.233,11.455,16.63,11.462,13.266,13.104,14.183,11.811,12.256,12.609,12.163,13.792,12.021,11.529,10.969,13.83,13.296,12.3,8.152,8.519,13.203,11.461,14.582,18.725,14.025,19.108,16.057,18.66,11.641,12.05,13.859,11.601,11.541,14.378,13.011,16.297,10.885,10.344,16.829,24.378,20.343,18.459,15.733,20.13,22.658,14.214,24.071,13.902,16.223,16.564,19.452,17.63,19.276,17.478,16.072,18.191,35.357,38.141
Shaoyang,16.251,15.765,14.288,16.642,17.966,12.369,12.988,15.469,18.429,18.293,14.761,16.142,13.755,13.518,16.36,14.116,11.795,10.964,16.065,13.423,11.531,14.504,12.669,14.253,18.507,18.504,19.069,20.533,23.189,17.664,31.601,20.322,17.633,21.314,23.244,21.263,22.179,22.148,22.996,19.634,21.019,20.806,22.1,20.427,22.24,20.255,19.622,23.981,24.818,23.455,23.458,23.645,24.386,26.8,26.342,27.985,29.753,30.35,31.553,27.171,30.037,29.716,30.66,28.363,32.084,12.239,11.036,11.763,12.479,12.201,12.313,12.463,13.628,12.688,13.404,11.943,13.055,12.456,13.296,10.113,11.368,11.988,11.645,11.527,10.739,8.998,8.633,13.155,12.376,10.855,9.742,10.432,10.458,10.552,10.411,12.847,10.467,8.58,8.808,11.318,9.918,11.052,8.341,10.639,10.522,10.5,10.256,10.234,9.739,8.047,9.229,9.331,8.496,8.191,11.144,5.341,7.213,2.861,6.591,4.01,6.64,5.945,4.258,3.653,6.223,7.864,13.115,15.581,14.122,12.672,15.054,17.242,15.413,11.759,13.508,18.716,14.371,13.609,13.909,13.875,12.466,14.657,11.402,10.584,10.873,9.596,8.474,11.718,11.814,10.525,10.427,11.666,9.402,8.815,10.945,8.269,10.451,7.691,9.493,8.559,5.528,6.386,7.991,6.129,6.509,5.903,5.278,6.406,4.625,7.063,5.13,6.464,2.32,2.35,1.872,1.482,0.0,4.063,2.775,4.567,2.726,2.986,1.029,2.474,1.143,7.203,5.343,8.053,8.577,10.028,7.327,8.088,9.51,9.094,7.106,7.603,8.348,10.398,7.903,8.899,6.969,7.876,8.124,9.449,7.618,5.176,3.837,6.487,9.06,9.399,7.981,6.941,7.543,9.174,5.265,7.407,6.281,9.061,13.29,17.098,8.681,11.972,10.194,15.369,10.2,12.005,11.842,12.9,10.549,10.995,11.348,10.907,12.531,10.759,10.273,9.864,12.569,12.165,11.039,6.891,7.258,11.942,10.2,13.321,17.463,12.763,17.847,14.796,17.399,11.267,11.676,13.485,11.227,11.167,14.004,12.637,16.05,10.511,9.97,16.456,24.004,19.969,18.085,15.359,19.757,22.284,13.84,23.697,13.529,15.849,15.281,19.078,17.256,18.902,17.104,15.698,17.818,34.983,37.767
