source,target,distance
BNI,CHK,1.51
BNL,AXP,1.74
BNL,SPR,0.52
BNM,MAI,5.31
BNM,SLO,4.01
BNM,TAP,2.42
BNP,UMB,10.26
BNS,BNI,0.94
BNS,HOU,8.41
BNS,MTL,1.8
BNS,PUT,1.8
BNS,RMD,4.2
BNT,BDY,1.66
BNT,RDN,2.65
BNV,CPA,1.61
BNV,FTW,2.63
BNW,BOT,0.6
BNW,SFL,1.6
BNY,DOD,3.74
BNY,DRT,5.2
BNY,MHS,15.88
BNY,WKK,13.85
BNY,WOM,5.75
BOA,AVF,2.1
BOA,BTH,8.13
BOA,TRO,3.84
BOC,RAV,7.32
BOC,SIC,8.11
BOD,LOS,4.27
BOD,LSK,13.85
BOD,PAR,10.5
BOD,SAU,14.84
BOE,FRM,8.5
BOE,HDE,3.04
BOG,BAA,5.56
BOH,FSB,2.31
BOH,NUT,2.52
BOH,SOB,4.31
BOM,BMR,0.91
BOM,ERA,1.64
BOM,SPI,2.05
BON,CRL,15.87
BON,DGT,16.04
BON,FNW,3.67
BON,HID,2.72
BON,HWI,7.53
BON,LOT,4.49
BON,MCO,16.46
BON,MSS,2.59
BON,PRE,27.55
BON,SLD,13.9
BON,WHG,6.79
BOP,AAP,1.0
BOP,PAL,1.44
BOR,BNG,18.9
BOR,LPG,14.03
BOR,TYC,4.29
BOT,BAH,1.21
BOT,BNW,0.6
BOW,AYW,4.39
BOW,BRH,5.89
BPB,BPS,1.2
BPB,SQU,1.31
BPK,HAT,4.82
BPK,PBR,2.77
BPK,WMG,1.75
BPN,LAY,1.97
BPN,PFY,4.85
BPN,PRE,23.56
BPS,BPB,1.2
BPT,LGB,5.78
BPT,PTG,12.24
BPT,PYG,7.77
BPT,PYJ,6.68
BPW,BRI,7.68
BPW,CNM,52.47
BPW,FIT,1.69
BPW,GCR,44.37
BPW,NWP,32.65
BPW,SWI,52.69
BPW,YAE,8.18
BRA,DNO,6.48
BRA,GOL,9.18
BRA,HMS,16.28
BRC,ADW,4.24
BRC,FLD,3.24
BRE,HRO,5.09
BRE,SNF,2.81
BRF,BNC,3.49
BRF,NEL,1.92
BRG,KMS,4.11
BRG,OTF,7.93
BRG,WMA,7.82
BRH,BOW,5.89
BRH,DVY,11.81
BRI,BMT,1.34
BRI,BPW,7.68
BRI,BTH,17.47
BRI,BWT,45.66
BRI,FIT,6.34
BRI,KYN,6.98
BRI,LWH,1.56
BRI,NLS,12.2
BRI,RDG,111.56
BRI,TAU,59.63
BRI,WSM,29.49
BRI,YAT,18.28
BRK,GLY,7.05
BRK,LWS,11.37
BRK,PLG,5.99
BRL,GIR,17.14
BRL,STR,25.97
BRM,LLA,2.49
BRM,MFA,2.4
BRN,HLF,0.85
BRN,WES,1.38
BRO,RAN,22.09
BRO,UTY,9.74
BRP,BCC,7.23
BRP,HAS,6.01
BRR,DNL,13.26
BRR,GLC,10.72
BRR,NIT,2.5
BRS,NEM,1.81
BRS,SUR,1.77
BRU,CLC,5.45
BRU,FRO,16.03
BRV,KNN,1.58
BRV,SLY,1.79
BRW,LVC,2.51
BRW,STM,1.68
BRX,HNH,1.42
BRX,VIC,4.13
BRY,BYD,1.8
BRY,BYI,0.94
BRY,RIA,4.6
BSB,FSK,2.9
BSB,NCT,9.64
BSB,THU,1.91
BSC,TAB,1.48
BSC,WSL,2.45
BSD,HBN,3.69
BSD,MDE,3.92
BSE,KNE,15.39
BSE,NMK,20.99
BSE,SMK,20.79
BSE,SOJ,27.71
BSE,TRS,6.56
BSH,CPK,1.94
BSH,EUS,21.7
BSH,HRW,6.98
BSH,WFH,0.89
BSH,WFJ,2.12
BSI,BYF,2.19
BSI,MON,1.48
BSJ,BDM,1.1
BSJ,KMH,4.83
BSJ,SWR,7.64
BSK,ADV,28.9
BSK,BMY,7.1
BSK,CLJ,67.3
BSK,FLE,18.01
BSK,FNB,23.28
BSK,HOK,8.84
BSK,MIC,15.41
BSK,OVR,12.13
BSK,RDG,22.65
BSK,WIN,27.63
BSK,WOK,37.3
BSL,ARG,4.79
BSL,LCL,6.44
BSM,BMH,3.89
BSM,PKS,2.15
BSN,HBB,5.3
BSN,HEC,17.61
BSN,TPC,22.28
BSN,WFL,22.7
BSO,BEF,7.74
BSO,GRY,13.84
BSO,LAI,2.29
BSO,PSE,3.53
BSP,BSY,0.78
BSP,KNR,0.99
BSR,DMP,1.75
BSR,MAR,5.08
BSR,RAM,2.9
BSS,IRV,5.74
BSS,TRN,2.05
BSU,EDB,5.54
BSU,NEW,0.99
BSV,CRL,3.36
BSV,LEY,3.26
BSW,BMO,0.71
BSW,DTW,29.7
BSW,JEQ,1.12
BSW,SBJ,16.36
BSY,BSP,0.78
BSY,WHD,0.85
BTB,GMB,21.35
BTB,HAB,9.98
BTB,MKR,21.65
BTB,SCU,15.99
BTD,GOE,1.6
BTD,SWN,3.67
BTE,SDN,0.88
BTE,WLS,2.17
BTF,ALK,6.91
BTF,BIN,10.51
BTF,GRA,11.15
BTG,ALV,2.37
