source,target,distance
ENT,BMC,4.71
ENT,DWN,5.74
EPD,BAD,1.9
EPH,BFR,1.99
EPH,DMK,2.96
EPH,LGJ,3.05
EPS,AHD,3.3
EPS,CHE,4.46
EPS,EWE,2.25
EPS,EWW,1.92
ERA,BOM,1.64
ERA,HOO,1.19
ERD,CRD,0.92
ERD,GVH,1.75
ERH,BVD,1.94
ERH,SGR,1.9
ERI,AHS,5.58
ERI,COH,4.83
ERL,NLW,1.61
ERL,SHJ,4.56
ERL,WBQ,7.65
ERL,WGN,10.27
ESD,CIT,1.58
ESD,GRP,2.11
ESH,HER,2.55
ESH,SUR,3.7
ESL,CFR,2.85
ESL,CSA,24.35
ESL,HDE,5.66
ESL,PMH,25.62
ESL,PMS,26.3
ESL,PTC,20.75
ESL,SHW,6.05
ESL,SOA,2.24
ESL,WIN,11.1
ESM,NWE,6.66
ESM,SST,2.89
EST,BAI,4.13
EST,GAR,1.48
ESW,SMK,8.02
ESW,TRS,7.15
ETC,RBR,3.4
ETC,SOG,5.59
ETC,WAD,11.43
ETL,SFO,3.36
ETL,TIL,4.78
ETL,UPM,13.89
EUS,COV,135.45
EUS,CRE,233.62
EUS,HRW,15.49
EUS,LBZ,57.09
EUS,MKC,71.44
EUS,NUN,143.52
EUS,SOH,3.37
EUS,STA,196.24
EUS,TAM,162.7
EUS,WBQ,265.79
EUS,WFJ,23.53
EVE,HYB,7.68
EVE,MIM,20.61
EVE,PSH,9.2
EWD,TLK,1.31
EWD,WYT,1.55
EWE,CHE,2.21
EWE,EPS,2.25
EWR,LAC,2.31
EWR,WRH,1.54
EWW,EPS,1.92
EWW,SNL,1.59
EXC,DIG,4.4
EXC,EXD,0.81
EXC,HON,25.57
EXC,PIN,4.5
EXC,SJP,0.83
EXD,CDI,9.44
EXD,DWL,17.42
EXD,DWW,16.09
EXD,EXC,0.81
EXD,EXT,1.43
EXD,NTA,22.54
EXD,NTC,6.4
EXD,PLY,57.65
EXD,RDG,197.12
EXD,TAU,45.09
EXD,TVP,24.61
EXG,AND,0.75
EXG,GLC,1.63
EXG,PTK,1.83
EXM,LYM,3.22
EXN,LYC,0.71
EXN,TOP,2.41
EXR,HHY,0.78
EXR,OLD,1.74
EXT,EXD,1.43
EXT,SCS,11.82
EYN,SAY,4.19
EYN,SEH,3.56
FAL,FMT,0.7
FAV,NGT,16.14
FAV,SEG,5.16
FAV,SIT,11.38
FAV,TEY,6.29
FAV,WHI,11.12
FAZ,KIR,2.9
FAZ,RIL,2.16
FBY,FRE,1.4
FBY,HTO,3.29
FCN,ELW,1.86
FCN,WLI,1.73
FCN,WWD,3.92
FEA,POT,3.17
FEA,SHC,2.68
FEL,AFS,4.23
FEL,HOU,3.7
FEL,SNS,6.69
FEL,TWI,5.6
FEL,WTN,3.62
FEN,BLY,1.37
FEN,BWB,1.56
FER,CMH,2.11
FER,MTA,1.46
FFA,LLI,5.77
FFA,LLL,1.49
FFA,PTF,10.42
FFD,AVF,1.39
FFD,BOA,3.4
FFD,BTH,5.56
FGH,FGW,1.04
FGT,IFI,4.02
FGT,LVN,3.62
FGW,CLR,18.59
FGW,FGH,1.04
FIL,HUB,4.18
FIL,SEM,8.72
FIT,BPW,1.69
FIT,BRI,6.34
FIT,NWP,31.61
FIT,PWY,2.33
FIT,SRD,4.17
FIT,STJ,17.34
FKC,DVP,10.61
FKC,FKW,1.1
FKG,CMO,2.06
FKG,HYM,35.83
FKG,PMT,4.79
FKG,STG,16.04
FKK,CRO,15.69
FKK,HYM,36.08
FKK,LIN,12.34
FKK,LNZ,23.85
FKK,PMT,4.87
FKW,AFK,20.48
FKW,FKC,1.1
FKW,SDG,6.17
FLD,ADW,7.42
FLD,BRC,3.24
FLD,CRS,14.96
FLD,SHS,4.95
FLE,BSK,18.01
FLE,FNB,5.26
FLE,WNF,5.34
FLF,GUI,2.61
FLF,NWN,1.07
FLI,CSR,1.06
FLI,IRL,3.44
FLI,URM,2.05
FLM,MRY,2.97
FLM,WKG,5.51
FLN,CTR,17.83
FLN,PRT,20.63
FLN,RHL,24.89
FLN,SHT,7.52
FLT,BDM,14.78
FLT,HLN,4.63
FLW,HMP,2.55
FLW,TED,1.57
FLX,TRM,2.36
FML,AHV,4.75
FML,CAM,2.74
FMR,BTN,5.28
FMR,LWS,6.99
FMR,MCB,2.8
FMT,FAL,0.7
FMT,PNM,1.27
FNB,BKO,8.38
FNB,BSK,23.28
FNB,FLE,5.26
FNB,WOK,14.03
FNC,GLD,4.74
FNC,GOD,1.54
FNH,AHT,4.46
FNH,AON,13.87
FNH,BTY,6.28
FNN,BAW,4.07
FNN,NCM,3.03
FNR,LGF,4.54
FNR,SAY,4.69
FNT,CBK,10.46
FNT,HON,7.02
FNT,WHM,5.27
FNV,NMN,1.78
FNV,WBR,2.08
FNW,BON,3.67
FNW,KSL,1.0
FNW,MSS,1.1
FNW,SLD,10.23
FNY,HDH,1.39
FNY,WHD,0.64
FOC,LHA,4.43
FOC,TAY,8.84
FOD,ANG,6.43
FOD,ARU,3.08
FOD,BAA,4.29
FOD,LIT,3.15
FOD,TBD,43.32
FOD,WRH,14.28
FOG,MNP,1.48
FOG,MYL,1.33
FOH,HPA,1.39
FOH,SYD,1.3
FOK,BUL,1.56
FOK,SUT,1.66
FOR,ELG,18.97
FOR,NRN,15.23
FOX,GNR,2.49
FOX,KBF,3.43
FPK,AAP,3.86
FPK,DYP,1.3
FPK,HGY,1.4
FPK,KGX,3.95
FPK,PBR,15.91
FPK,STP,4.04
FPK,SVG,38.12
FPK,WGC,27.14
FRB,LLW,4.15
FRB,MFA,1.69
FRD,CTR,15.18
FRD,HSB,3.92
FRD,RUE,5.18
FRD,RUN,4.88
FRE,ANS,4.42
FRE,FBY,1.4
FRF,GTO,1.53
FRF,GUI,2.07
FRI,KBX,1.98
FRI,WON,1.95
FRL,LAR,4.62
FRL,WKB,6.21
FRM,BOE,8.5
FRM,CSA,8.83
FRM,FTN,10.42
FRM,HAV,14.78
FRM,PTC,4.78
FRM,SNW,5.76
FRM,SOU,16.69
FRN,IGD,14.69
FRN,TAI,5.31
FRO,BRU,16.03
FRO,WSB,8.89
FRS,ABC,11.71
FRS,KBC,11.26
FRS,KIL,20.7
FRT,TBW,3.66
FRT,WAD,3.64
FRW,DCT,0.73
FRW,WNG,0.7
FRY,BUH,4.84
FRY,HES,4.32
FSB,BOH,2.31
FSB,CCH,2.47
FSG,PLD,1.0
FSG,SWK,1.26
FSK,BSB,2.9
FSK,LOW,8.24
FSK,NCT,6.97
FSK,ROL,1.08
FST,LHS,2.72
FTM,GKW,2.15
FTM,GRK,1.38
FTN,BDH,8.44
FTN,CSA,5.11
FTN,FRM,10.42
FTN,HAV,9.16
FTN,HLS,3.7
FTN,PMS,1.21
FTW,BNV,2.63
FTW,SBR,13.63
FWY,BHM,1.26
FWY,UNI,2.73
FXN,CBG,10.05
FXN,STH,1.81
FYS,CMN,10.41
FYS,KWL,5.23
FZH,BDQ,2.72
FZH,SHY,1.5
FZP,COO,2.75
FZP,MAI,1.65
FZW,MRP,6.2
FZW,SES,7.21
FZW,SNA,7.89
GAL,SOI,9.01
GAL,TWB,3.26
GAR,EST,1.48
GAR,HST,6.93
GAR,SLS,1.92
GBD,BMF,3.97
GBD,BUH,10.31
GBD,EGN,3.73
GBD,GOO,10.5
GBD,HOW,8.65
GBD,SAM,5.86
GBG,NEG,3.09
GBG,SOI,20.03
GBK,CUD,4.59
GBK,MLD,13.44
GBK,NWI,2.64
GBL,DON,28.86
GBL,RET,14.28
GBL,SXY,14.94
GBS,ANG,3.96
GBS,DUR,1.52
GCH,ART,15.21
GCH,HLU,9.59
GCR,BHM,72.0
GCR,BPW,44.37
GCR,CDU,18.41
GCR,CNM,10.19
GCR,CPW,38.96
GCR,LYD,26.2
GCR,NWP,60.68
GCR,SHU,13.59
GCT,GMB,3.14
GCT,HLI,2.12
GCW,LLJ,1.99
GCW,TLC,4.55
GDH,CUF,5.14
GDH,CWH,2.49
GDH,ENC,1.22
GDL,GLO,7.05
GDL,HTY,1.19
GDL,NWN,0.98
GDN,EBR,7.79
GDN,NUF,5.91
GDP,HRO,2.33
GDP,RMF,1.76
GEA,ANN,12.79
GEA,CAR,14.93
GER,BCF,6.6
GER,DGC,2.76
GER,DNM,4.16
GER,HWY,13.89
GER,MYB,28.08
GER,SRG,4.27
GER,WCX,19.01
GER,WRU,8.4
GFD,SGN,1.15
GFF,BGD,0.92
GFF,PGM,1.55
GFN,CKS,1.98
GFN,THB,1.37
GGJ,FRS,31.22
GGJ,SCT,6.73
GGJ,THS,9.56
GGJ,WCK,22.09
GGV,HLD,8.8
GGV,SKI,5.63
GIG,CPY,8.45
GIG,LPR,5.9
GIL,TIS,13.86
GIL,TMC,10.78
GIP,CYP,1.05
GIP,WNW,1.61
GIR,BRL,17.14
GIR,MAY,15.88
GKC,CDY,1.36
GKC,GKW,0.97
GKC,PTG,4.13
GKW,FTM,2.15
GKW,GKC,0.97
GLC,AGS,0.51
GLC,AND,0.89
GLC,BDG,2.31
GLC,BLH,15.29
GLC,BRR,10.72
GLC,CAR,136.45
GLC,CBL,6.92
GLC,CDO,5.25
GLC,CMY,3.32
GLC,DUM,3.16
GLC,EXG,1.63
GLC,HLE,6.09
GLC,HLW,7.13
GLC,HYM,65.5
GLC,KWN,36.27
GLC,LOC,99.8
GLC,MTH,18.11
GLC,PLE,2.19
GLC,PLW,2.7
GLC,PWW,4.85
GLC,PYG,10.51
GLC,UDD,11.41
GLD,ASH,9.32
GLD,DPD,17.81
GLD,FNC,4.74
GLD,GOD,6.21
GLD,GOM,9.83
GLD,HAV,50.97
GLD,LRD,1.15
GLD,NCM,11.35
GLD,RDG,36.72
GLD,SFR,2.69
GLD,SOU,68.81
GLD,WAN,6.13
GLD,WAT,43.91
GLD,WOK,9.21
GLD,WPL,5.79
GLE,DBL,17.54
GLE,PTH,22.23
GLE,STG,21.39
GLF,LCL,13.03
GLF,LCS,9.89
GLG,DLY,4.3
GLG,JHN,15.09
GLG,KWN,9.49
GLG,LHW,6.5
GLG,MIN,13.04
GLH,CFD,1.86
GLH,PFM,2.82
GLM,CTM,2.16
GLM,RAI,4.8
GLO,BDB,4.48
GLO,DTG,1.51
GLO,GDL,7.05
GLO,HDF,2.11
GLQ,ASF,2.96
GLQ,BBG,4.89
GLQ,CHC,1.22
GLQ,CRO,16.94
GLQ,DMR,12.29
GLQ,EDB,66.99
GLQ,HST,0.73
GLQ,LBT,31.67
GLQ,SPR,2.57
GLQ,STG,34.7
GLS,EGT,2.08
GLS,LHM,3.12
GLT,CDD,7.72
GLT,KDY,5.79
GLT,MNC,4.37
GLY,BRK,7.05
GLY,LWS,4.32
GLY,PLG,13.04
GLZ,BWD,4.84
GLZ,IRL,1.93
GMB,CLE,3.82
GMB,GCT,3.14
GMB,GMD,1.36
GMB,HAB,12.81
GMD,GMB,1.36
GMD,NCE,1.09
GMG,MEW,1.12
GMG,TDU,6.32
GMN,AMR,7.72
GMN,WND,6.99
GMT,EGT,2.4
GMT,SLH,4.9
GMV,CWL,4.2
GMV,MVL,1.8
GMY,CTH,1.21
GMY,SVK,1.09
GNB,RET,15.1
GNF,MSL,3.28
GNF,MSN,9.02
GNF,SYB,6.85
GNH,DFD,4.15
GNH,GRV,6.18
GNH,SCG,1.05
GNH,SWM,2.14
GNL,BKC,0.67
GNL,RFY,1.21
GNR,FOX,2.49
GNR,MLM,4.1
GNT,NWA,5.98
GNT,RNR,6.64
GNW,DEP,0.84
GNW,MZH,1.34
GOB,CRK,4.83
GOB,SHR,27.98
GOD,FNC,1.54
GOD,GLD,6.21
GOD,HSL,12.94
GOD,MLF,2.88
GOE,BTD,1.6
GOE,THC,1.33
GOF,BYL,1.67
GOF,CAN,0.85
GOL,BRA,9.18
GOL,DNO,2.71
GOL,ROG,10.28
GOM,CHL,5.79
GOM,DKT,7.35
GOM,DPD,8.46
GOO,BUH,19.56
GOO,DON,26.91
GOO,GBD,10.5
GOO,RWC,5.97
GOO,SAM,4.65
GOO,TNN,11.81
GOR,CHO,5.69
GOR,PAN,4.98
GOS,ARN,4.94
GOS,CAK,4.97
GOS,KBK,2.89
GOX,NHL,3.19
GOX,TNA,2.68
GPK,ENC,1.22
GPK,WIH,0.99
GPO,HDH,1.0
GPO,KTW,1.02
GPO,UHL,1.76
GRA,ALK,17.88
GRA,ANC,11.55
GRA,BIN,21.44
GRA,BTF,11.15
GRA,DON,76.02
GRA,KGX,157.05
GRA,NNG,22.18
GRA,NOT,34.13
GRA,PBO,45.37
GRA,RET,49.82
GRA,SLR,18.44
GRA,SVG,115.6
GRB,ALR,4.71
GRB,TLS,6.64
GRB,WEE,3.46
GRC,AUD,6.23
GRC,WLF,5.23
GRF,CHF,10.69
GRF,CRG,4.58
GRF,EGF,0.9
GRF,LDS,10.86
GRF,SBY,20.98
GRF,SOM,8.78
GRF,ULL,12.75
GRF,YRK,26.13
GRH,GRL,7.66
GRH,SPS,3.85
GRK,FTM,1.38
GRL,CBC,8.34
GRL,CUB,1.15
GRL,GRH,7.66
GRN,DOR,7.76
GRN,HSG,2.79
GRP,ESD,2.11
GRP,HGR,3.02
GRP,SUP,1.9
GRS,HYN,3.26
GRS,SCH,0.81
GRS,YOK,1.51
GRT,ADV,10.08
GRT,SAL,17.04
GRV,EBD,3.17
GRV,GNH,6.18
GRV,HGM,7.1
GRV,NFL,2.98
GRV,SOO,10.52
GRY,CFH,2.61
GRY,PFL,5.92
GRY,TIL,2.71
GRY,UPM,10.43
GSC,PPK,1.69
GSC,SUM,0.64
GSD,DNT,4.97
GSD,KSW,15.14
GSD,SET,28.45
GSL,CSK,2.19
GSN,BWO,2.6
GSN,WFN,1.35
GST,APB,2.7
GST,WGW,4.36
GSW,BYN,2.0
GSW,SNH,5.51
GSY,BLD,3.87
GSY,LDS,14.23
GSY,MNN,2.26
GTA,BTT,3.83
GTA,NNT,5.49
GTH,CIM,5.36
GTH,LLM,2.71
GTN,CDF,1.21
GTN,CGN,2.34
GTN,DGL,3.06
GTO,ABY,1.82
GTO,FRF,1.53
GTO,GUI,3.6
GTO,MAN,4.19
GTR,CEL,6.21
GTR,HCH,3.1
GTW,ECR,24.77
GTW,HHE,17.27
GTW,HOR,1.37
GTW,RDH,9.32
GTW,TBD,4.4
GTY,EDY,1.87
GTY,HDG,2.66
GTY,MAN,9.28
GTY,MIA,4.22
GUI,ABY,5.35
GUI,FLF,2.61
GUI,FRF,2.07
GUI,GTO,3.6
GUI,HYT,2.17
GUN,KWG,1.71
GUN,SAT,0.95
GVE,DIN,16.01
GVE,LCC,7.28
GVH,AST,1.7
GVH,ERD,1.75
GWE,CYB,3.05
GWE,WRX,2.69
GWN,LLE,9.09
GWN,SWA,7.02
GYM,ACL,12.21
GYM,BYA,6.6
GYM,REE,12.12
GYP,MTO,1.69
GYP,NNT,0.85
HAB,BTB,9.98
HAB,GMB,12.81
HAB,SLL,5.93
HAB,ULC,2.71
HAC,BET,2.7
HAC,CPT,1.45
HAC,LOF,0.86
HAC,LST,3.74
HAC,REC,1.25
HAC,SVS,3.89
HAC,TOM,4.4
HAD,REE,5.81
HAD,SYT,2.9
HAF,HXX,1.65
HAG,BKD,2.69
HAG,KID,7.56
HAG,SBJ,2.94
HAI,CUX,2.66
HAI,SDA,2.49
HAL,ALT,0.97
HAL,ASY,2.56
HAM,HOL,4.4
HAM,POO,2.62
HAM,WRM,7.65
HAN,STL,2.84
HAN,WEA,1.32
HAP,CHM,9.79
HAP,WTM,4.35
HAS,BRP,6.01
HAS,DSM,8.28
HAT,KGX,26.69
HAT,PBR,7.58
HAT,WGC,4.21
HAT,WMG,3.08
HAV,BDH,1.0
HAV,CCH,14.26
HAV,CSA,6.19
HAV,EMS,3.03
HAV,FRM,14.78
HAV,FTN,9.16
HAV,GLD,50.97
HAV,PTR,17.18
HAV,RLN,4.53
HAV,SOU,30.89
HAV,WBL,1.02
HAY,EAL,8.34
HAY,HXX,3.97
HAY,LNY,8.4
HAY,SLO,11.87
HAY,STL,2.93
HAY,WDT,3.65
HAZ,DSL,5.7
HAZ,MDL,3.23
HAZ,WSR,1.59
HBB,BSN,5.3
HBB,HEC,12.32
HBB,SWE,5.2
HBD,BYM,16.63
HBD,HFX,10.35
HBD,MYT,2.05
HBD,SOW,7.49
HBD,TOD,6.52
HBN,BSD,3.69
HBN,HRM,3.84
HBP,HGT,1.64
HBP,PNL,2.44
HBY,DTW,8.5
HBY,KID,5.71
HCB,CSH,1.36
HCB,MIJ,1.69
HCH,ALD,13.92
HCH,GTR,3.1
HCH,SDB,6.12
HCN,AFK,17.52
HCN,PLC,8.43
HCN,SPU,5.41
HCT,ACR,2.64
HCT,HPN,2.2
HDB,BLL,6.29
HDB,HEX,9.74
HDB,HWH,13.79
HDE,BOE,3.04
HDE,ESL,5.66
HDF,DTG,1.31
HDF,GLO,2.11
HDG,EDY,4.52
HDG,GTY,2.66
HDG,MAN,11.91
HDG,MIA,2.42
HDH,FNY,1.39
HDH,GPO,1.0
HDL,HRW,2.0
HDL,HTE,1.2
HDM,BCS,20.55
HDM,BIT,19.66
HDM,HWY,20.76
HDM,MYB,60.42
HDM,PRR,8.97
HDN,SBP,1.48
HDN,WIJ,1.15
HDW,NBA,2.22
HDW,PBR,3.39
HDY,BUY,1.23
HDY,HRS,4.07
HEC,BSN,17.61
HEC,SLR,8.05
HEC,SWE,7.2
HED,HGN,3.4
HED,HNX,2.06
HEI,NAY,1.93
HEI,NRD,7.0
HEL,SNI,5.7
HEL,WBD,2.88
HEN,CRI,3.0
HEN,MIL,3.72
HER,ESH,2.55
HER,WAL,1.78
HES,FRY,4.32
HES,HUL,6.98
HEV,CWN,3.05
HEV,EBT,2.85
HEW,NCL,4.34
HEW,SUN,12.21
HEX,CRB,4.98
HEX,HDB,9.74
HEX,HWH,23.52
HEX,PRU,14.74
HFD,AGV,34.16
HFD,CRV,43.26
HFD,LED,19.46
HFD,LEO,18.3
HFD,LUD,34.45
HFD,SHR,72.38
HFE,WAR,3.2
HFN,BAY,4.58
HFN,CUF,10.1
HFN,SVG,13.91
HFN,WAS,6.68
HFS,KKS,4.4
HFS,TNN,4.56
HFS,TNS,4.87
HFX,BDI,10.46
HFX,BGH,5.52
HFX,HBD,10.35
HFX,LMR,7.45
HFX,SOW,3.72
HGD,BDW,7.17
HGD,KIT,4.8
HGD,NBY,13.28
HGD,PEW,19.68
HGD,RDG,37.79
HGF,ATN,1.23
HGF,DSY,1.52
HGG,DLJ,0.6
HGG,HOX,0.8
HGM,GRV,7.1
HGM,SOO,4.08
HGN,HED,3.4
HGN,LPY,7.76
HGN,WAW,9.36
HGN,WID,2.84
HGR,GRP,3.02
HGR,LBG,8.17
HGR,LEE,1.17
HGR,LEW,1.66
HGR,SAJ,2.32
HGS,ORE,1.49
HGS,SLQ,1.14
HGT,HBP,1.64
HGT,HRS,17.3
HGT,SBE,2.47
HGY,FPK,1.4
HGY,HRN,1.12
HHD,BNG,34.28
HHD,RHO,11.58
HHD,VAL,5.37
HHE,BAB,6.01
HHE,BTN,19.77
HHE,BUG,5.96
HHE,GTW,17.27
HHE,PRP,18.06
HHE,TBD,13.02
HHE,WVF,4.74
HHL,CDQ,3.93
HHL,LLS,1.8
HHY,CIR,0.98
HHY,CMD,2.66
HHY,CNN,0.73
HHY,DYP,0.75
HHY,EXR,0.78
HIA,BHI,2.99
HIA,BKW,5.35
HIB,TBW,2.36
HIB,TON,4.7
HID,BMC,1.82
HID,BON,2.72
HIG,BWT,10.1
HIG,WSM,14.03
HIL,ANS,2.55
HIL,BDL,1.43
HIN,DSY,3.95
HIP,CHI,2.82
HIP,WST,2.47
HIR,RHD,7.35
HIR,SET,9.28
HIT,ARL,8.09
HIT,BIW,14.62
HIT,LET,3.78
HIT,PBO,69.16
HIT,RYS,19.64
HIT,SNO,30.97
HIT,SVG,6.92
HKC,DLK,1.38
HKC,HMN,1.2
HKH,CKT,2.06
HKH,PCN,1.58
HKM,CLM,11.64
HKM,LCN,5.17
HKM,SWD,7.53
HKN,BLW,4.29
HKN,KKB,7.87
HKN,NOT,10.65
HKN,NSD,4.12
HKW,HMN,0.95
HKW,SRA,1.55
HLB,SEV,7.64
HLB,TON,3.95
HLC,CGD,1.7
HLD,GGV,8.8
HLD,LPR,1.93
HLD,SET,7.13
HLD,SKI,14.43
HLE,CDO,0.91
HLE,GLC,6.09
HLE,HLW,1.06
HLE,PYG,4.43
HLF,BRN,0.85
HLF,MLN,2.33
HLG,SRI,0.92
HLG,YRD,1.8
HLI,GCT,2.12
HLI,SLL,1.63
HLL,CDQ,3.84
HLL,TGS,1.2
HLM,DKG,6.67
HLM,OLY,3.44
HLN,FLT,4.63
HLN,LEA,6.82
HLR,BLN,1.39
HLR,HTO,3.0
HLS,BDH,5.26
HLS,CSA,1.68
HLS,FTN,3.7
HLS,HAV,6.15
HLU,DBC,12.5
HLU,GCH,9.59
HLW,GLC,7.13
HLW,HLE,1.06
HLW,PYG,3.44
HLY,BLH,3.23
HLY,CRF,1.27
HLY,SHS,10.99
HMC,THD,1.53
HMD,BEX,14.75
HMD,EBN,3.01
HMD,PEV,3.86
HMD,PLG,3.63
HME,BUO,2.22
HME,NTL,0.97
HML,APS,2.21
HML,BKM,5.42
HML,WFJ,10.91
HMM,CTL,2.41
HMM,POP,9.07
HMN,HKC,1.2
HMN,HKW,0.95
HMP,FLW,2.55
HMP,KMP,2.67
HMP,SUU,3.18
HMS,BRA,16.28
HMS,KIL,13.74
HMT,AFK,8.51
HMT,APD,4.73
HMW,KNG,0.81
HMW,TED,1.79
HMY,BUS,3.34
HMY,EKL,2.53
HMY,THT,2.09
HNA,CHR,5.21
HNA,NWM,3.98
HNB,BCH,12.84
HNB,CSW,3.51
HNB,WHI,5.92
HNC,AIR,2.99
HNC,CTE,2.32
HNC,HNW,1.15
HND,CBY,9.56
HND,OXF,10.68
HNF,CAO,2.94
HNF,RGT,6.64
HNG,PGM,2.6
HNG,YSM,1.39
HNH,BRX,1.42
HNH,DMK,1.87
HNH,EPH,4.55
HNH,LGJ,1.5
HNH,TUH,1.51
HNH,WDU,1.58
HNK,NBR,12.09
HNK,NUN,6.3
HNK,SWS,16.92
HNL,DZY,4.47
HNL,TLK,8.68
HNL,WWW,2.8
HNT,INS,15.24
HNT,KEH,15.92
HNW,BLT,2.89
HNW,HNC,1.15
HNX,HED,2.06
HNX,LPY,2.31
HOC,RFD,3.85
HOC,RLG,4.33
HOH,MYB,13.48
HOH,RIC,11.67
HOK,BSK,8.84
HOK,WNF,3.84
HOL,HAM,4.4
HOL,WRM,3.34
HON,AXM,12.92
HON,FNT,7.02
HON,WHM,12.21
HOO,BAC,11.28
HOO,CPU,4.72
HOO,ERA,1.19
HOO,LTT,2.59
HOP,BAM,2.73
HOP,EDL,6.19
HOR,GTW,1.37
HOR,PUR,19.04
HOR,RDH,7.95
HOR,SAF,3.67
HOT,SHI,2.83
HOU,BFD,4.62
HOU,BNS,8.41
HOU,FEL,3.7
HOU,ISL,2.2
HOU,TWI,2.64
HOU,WTN,1.47
HOV,AGT,0.75
HOV,BTN,2.18
HOV,PLD,2.43
HOV,PRP,1.62
HOV,SSE,7.1
HOW,BUH,18.96
HOW,GBD,8.65
HOW,SBY,13.5
HOW,WRS,4.27
HOX,HGG,0.8
HOX,SDC,1.0
HOY,BBW,1.65
HOY,BHS,1.42
HOZ,GLG,10.59
HOZ,LHW,4.22
HOZ,MIN,2.46
HPA,BCY,1.68
HPA,FOH,1.39
HPD,LTN,7.13
HPD,LUT,8.63
HPD,SAC,7.36
HPE,CGW,1.09
HPE,PNF,3.1
HPL,EAG,19.75
HPL,HRE,10.3
HPL,SEC,3.19
HPL,SUN,26.8
HPN,HCT,2.2
HPN,RSG,2.33
HPQ,DVC,1.99
HPQ,MNG,14.39
HPQ,WRB,5.77
HPT,BME,3.93
HPT,BUK,4.51
HRD,TTF,11.77
HRE,HPL,10.3
HRE,SEA,8.77
HRH,BAA,34.47
HRH,CHH,3.54
HRH,CRW,10.59
HRH,LVN,1.71
HRH,PUL,18.35
HRH,WNH,3.07
HRL,LDN,2.97
HRL,TYG,4.15
HRM,HBN,3.84
HRM,LEN,2.72
HRN,AAP,1.43
HRN,HGY,1.12
HRO,BRE,5.09
HRO,GDP,2.33
HRR,PRN,4.94
HRR,WKG,3.56
HRS,HDY,4.07
HRS,HGT,17.3
HRS,LDS,8.01
HRS,WET,9.01
HRW,BSH,6.98
HRW,EUS,15.49
HRW,HDL,2.0
HRW,KNT,1.62
HRW,WFJ,9.09
HRW,WMB,5.09
HRY,CRH,1.47
HRY,STO,1.84
HSB,CTR,11.35
HSB,FRD,3.92
HSB,RUE,9.08
HSC,BCB,2.65
HSC,PBL,2.31
HSD,PRY,2.44
HSD,TAB,4.02
HSG,BAM,2.92
HSG,GRN,2.79
HSK,BTN,10.65
HSK,BUG,3.47
HSK,HOV,10.09
HSK,PRP,8.77
HSL,GOD,12.94
HSL,LIP,5.98
HSL,MLF,10.09
HSL,PTR,18.0
HSL,WTY,7.12
HST,BLG,0.96
HST,GAR,6.93
HST,GLQ,0.73
HST,SLS,5.04
HSW,NES,4.2
HSW,UPT,6.32
HSY,CLA,4.99
HSY,EFF,1.73
HTC,LVM,2.28
HTC,SPT,2.47
HTE,CPK,2.33
HTE,HDL,1.2
HTF,ACB,4.23
HTF,WSF,6.92
HTH,CHU,3.68
HTH,WML,2.34
HTN,DDG,10.12
HTN,LPW,6.24
HTN,WRP,4.27
HTO,FBY,3.29
HTO,HLR,3.0
HTW,CEA,4.5
HTW,SHS,2.68
HTY,BDB,1.65
HTY,GDL,1.19
HUB,BEM,10.14
HUB,FIL,4.18
HUD,BGH,5.55
HUD,DEW,11.11
HUD,DHN,3.14
HUD,LCK,1.85
HUD,LDS,22.59
HUD,MCV,35.12
HUD,MSL,22.57
HUD,SWT,6.92
HUD,SYB,25.83
HUL,BUH,15.46
HUL,CGM,5.75
HUL,HES,6.98
HUN,PBO,27.68
HUN,SNO,11.44
HUP,TRA,1.09
HUP,URM,1.79
HUR,EBT,6.61
HUR,LFD,7.6
HUR,OXT,1.62
HUT,ARR,7.92
HUT,BEV,12.63
HUT,DRF,5.1
HUY,BGE,3.37
HUY,LIV,8.94
HUY,PSC,3.29
HUY,RNH,5.14
HUY,ROB,0.86
HUY,SNH,8.89
HUY,WHN,3.12
HVF,CLR,7.58
HVF,JOH,5.68
HVN,SKG,5.15
HVN,WFL,2.77
HWB,NES,8.52
HWB,SHT,0.72
HWC,DVC,0.73
HWD,BCK,2.95
HWD,SHT,3.05
HWH,BLL,7.51
HWH,BMP,15.84
HWH,CAR,31.26
HWH,HDB,13.79
HWH,HEX,23.52
HWH,WRL,25.32
HWI,BLK,2.47
HWI,BON,7.53
HWI,CRL,10.08
HWI,LOT,3.08
HWM,HWN,2.76
HWM,SAW,3.29
HWN,BIS,10.66
HWN,BXB,8.24
HWN,HWM,2.76
HWN,RYN,4.1
HWN,SAW,5.82
HWN,SST,15.18
HWN,TOM,23.96
HWV,HXX,2.78
HWW,BWO,1.69
HWW,PKT,0.91
HWY,BCF,7.3
HWY,BCS,41.3
HWY,BIT,40.37
HWY,GER,13.89
HWY,HDM,20.76
HWY,MYB,41.94
HWY,PRR,11.94
HWY,SDR,7.55
HWY,WRU,22.27
HXM,NRW,11.97
HXM,NWA,11.38
HXM,SAH,4.59
HXM,WRT,6.87
HXX,HAF,1.65
HXX,HAY,3.97
HXX,HWV,2.78
HXX,PAD,19.58
HYB,EVE,7.68
HYB,MIM,15.24
HYC,GUI,3.15
HYC,HYT,1.4
HYC,WLY,2.55
HYD,KGS,11.43
HYD,TAC,4.22
HYH,CET,1.61
HYH,COL,2.87
HYH,WIV,3.79
